   5    5  0.24943E-02 -0.25511E-02
  15    5  0.78871E-02 -0.29670E-02
  25    5  0.14564E-01 -0.38739E-02
  35    5  0.23640E-01 -0.54485E-02
  45    5  0.36723E-01 -0.80398E-02
  55    5  0.56370E-01 -0.12347E-01
  65    5  0.87106E-01 -0.19909E-01
  75    5  0.13798     -0.34732E-01
  85    5  0.23042     -0.70821E-01
  95    5  0.41872     -0.21362    
 105    5  0.34031     -0.70707    
 115    5 -0.97587E-02 -0.84448    
 125    5 -0.28138     -0.86641    
 135    5 -0.55301     -0.84448    
 145    5 -0.90309     -0.70706    
 155    5 -0.98153     -0.21361    
 165    5 -0.79327     -0.70793E-01
 175    5 -0.70090     -0.34686E-01
 185    5 -0.65015     -0.19836E-01
 195    5 -0.61960     -0.12230E-01
 205    5 -0.60025     -0.78546E-02
 215    5 -0.58763     -0.51604E-02
 225    5 -0.57926     -0.34309E-02
 235    5 -0.57368     -0.22922E-02
 245    5 -0.56995     -0.15315E-02
 255    5 -0.56745     -0.10197E-02
 265    5 -0.56579     -0.67484E-03
 275    5 -0.56470     -0.44306E-03
 285    5 -0.56398     -0.28814E-03
 295    5 -0.56352     -0.18545E-03
 305    5 -0.56323     -0.11812E-03
 315    5 -0.56304     -0.74615E-04
 325    5 -0.56292     -0.47138E-04
 335    5 -0.56284     -0.30533E-04
 345    5 -0.56279     -0.21574E-04
 355    5 -0.56275     -0.18514E-04
 365    5 -0.56271     -0.20840E-04
 375    5 -0.56267     -0.29207E-04
 385    5 -0.56259     -0.45529E-04
 395    5 -0.56248     -0.73218E-04
 405    5 -0.56229     -0.11756E-03
 415    5 -0.56199     -0.18620E-03
 425    5 -0.56152     -0.28972E-03
 435    5 -0.56080     -0.44223E-03
 445    5 -0.55971     -0.66188E-03
 455    5 -0.55810     -0.97123E-03
 465    5 -0.55576     -0.13971E-02
 475    5 -0.55243     -0.19703E-02
 485    5 -0.54778     -0.27240E-02
 495    5 -0.54141     -0.36920E-02
 505    5 -0.53288     -0.49057E-02
 515    5 -0.52165     -0.63901E-02
 525    5 -0.50718     -0.81599E-02
 535    5 -0.48889     -0.10215E-01
 545    5 -0.46622     -0.12535E-01
 555    5 -0.43869     -0.15079E-01
 565    5 -0.40591     -0.17780E-01
 575    5 -0.36765     -0.20548E-01
 585    5 -0.32389     -0.23274E-01
 595    5 -0.27482     -0.25834E-01
 605    5 -0.22092     -0.28099E-01
 615    5 -0.16288     -0.29945E-01
 625    5 -0.10167     -0.31266E-01
 635    5 -0.38415E-01 -0.31981E-01
   5   15  0.22385E-02 -0.73877E-02
  15   15  0.70574E-02 -0.85694E-02
  25   15  0.12951E-01 -0.11134E-01
  35   15  0.20813E-01 -0.15548E-01
  45   15  0.31833E-01 -0.22706E-01
  55   15  0.47700E-01 -0.34311E-01
  65   15  0.70826E-01 -0.53780E-01
  75   15  0.10422     -0.88588E-01
  85   15  0.14814     -0.15624    
  95   15  0.17770     -0.29040    
 105   15  0.10443     -0.47720    
 115   15 -0.74416E-01 -0.59787    
 125   15 -0.27581     -0.63255    
 135   15 -0.47721     -0.59786    
 145   15 -0.65607     -0.47718    
 155   15 -0.72936     -0.29035    
 165   15 -0.69984     -0.15616    
 175   15 -0.65599     -0.88455E-01
 185   15 -0.62270     -0.53564E-01
 195   15 -0.59975     -0.33967E-01
 205   15 -0.58415     -0.22166E-01
 215   15 -0.57356     -0.14709E-01
 225   15 -0.56635     -0.98447E-02
 235   15 -0.56145     -0.66082E-02
 245   15 -0.55813     -0.44303E-02
 255   15 -0.55589     -0.29575E-02
 265   15 -0.55439     -0.19613E-02
 275   15 -0.55340     -0.12897E-02
 285   15 -0.55274     -0.83985E-03
 295   15 -0.55232     -0.54111E-03
 305   15 -0.55205     -0.34497E-03
 315   15 -0.55187     -0.21810E-03
 325   15 -0.55176     -0.13791E-03
 335   15 -0.55169     -0.89461E-04
 345   15 -0.55165     -0.63377E-04
 355   15 -0.55161     -0.54611E-04
 365   15 -0.55157     -0.61727E-04
 375   15 -0.55153     -0.86731E-04
 385   15 -0.55146     -0.13535E-03
 395   15 -0.55134     -0.21776E-03
 405   15 -0.55116     -0.34969E-03
 415   15 -0.55087     -0.55391E-03
 425   15 -0.55041     -0.86190E-03
 435   15 -0.54971     -0.13157E-02
 445   15 -0.54865     -0.19693E-02
 455   15 -0.54708     -0.28898E-02
 465   15 -0.54479     -0.41573E-02
 475   15 -0.54154     -0.58632E-02
 485   15 -0.53700     -0.81067E-02
 495   15 -0.53079     -0.10988E-01
 505   15 -0.52245     -0.14602E-01
 515   15 -0.51149     -0.19022E-01
 525   15 -0.49735     -0.24294E-01
 535   15 -0.47947     -0.30416E-01
 545   15 -0.45731     -0.37331E-01
 555   15 -0.43037     -0.44914E-01
 565   15 -0.39828     -0.52968E-01
 575   15 -0.36081     -0.61227E-01
 585   15 -0.31792     -0.69362E-01
 595   15 -0.26981     -0.77005E-01
 605   15 -0.21693     -0.83769E-01
